            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457994.500000000, A.D. 2017-Aug-29 00:00:00.0000,  5.353171688168168E+07, -1.707068528578543E+07, -6.305890239967113E+06,
2457995.500000000, A.D. 2017-Aug-30 00:00:00.0000,  5.384289756909224E+07, -1.282791086633443E+07, -5.987749495566767E+06,
2457996.500000000, A.D. 2017-Aug-31 00:00:00.0000,  5.384501513181804E+07, -8.511696559692672E+06, -5.635254285256725E+06,
2457997.500000000, A.D. 2017-Sep-01 00:00:00.0000,  5.352315292660212E+07, -4.144473985357571E+06, -5.248869108233094E+06,
2457998.500000000, A.D. 2017-Sep-02 00:00:00.0000,  5.286354172258753E+07,  2.486828013137241E+05, -4.829379648446473E+06,
2457999.500000000, A.D. 2017-Sep-03 00:00:00.0000,  5.185399985645862E+07,  4.639960771283869E+06, -4.377941042733070E+06,
2458000.500000000, A.D. 2017-Sep-04 00:00:00.0000,  5.048444256949233E+07,  8.998777016973253E+06, -3.896127132651883E+06,
2458001.500000000, A.D. 2017-Sep-05 00:00:00.0000,  4.874745568145073E+07,  1.329183764176025E+07, -3.385978281250951E+06,
2458002.500000000, A.D. 2017-Sep-06 00:00:00.0000,  4.663892140460531E+07,  1.748331293353767E+07, -2.850044471293541E+06,
2458003.500000000, A.D. 2017-Sep-07 00:00:00.0000,  4.415867471739072E+07,  2.153515558715576E+07, -2.291419518122183E+06,
2458004.500000000, A.D. 2017-Sep-08 00:00:00.0000,  4.131115773171727E+07,  2.540758580959146E+07, -1.713761462029420E+06,
2458005.500000000, A.D. 2017-Sep-09 00:00:00.0000,  3.810602793375007E+07,  2.905975984366050E+07, -1.121293741359917E+06,
2458006.500000000, A.D. 2017-Sep-10 00:00:00.0000,  3.455866580551587E+07,  3.245062592531163E+07, -5.187818191063423E+05,
2458007.500000000, A.D. 2017-Sep-11 00:00:00.0000,  3.069052056367515E+07,  3.553995382765070E+07,  8.851922586953267E+04,
2458008.500000000, A.D. 2017-Sep-12 00:00:00.0000,  2.652923235536789E+07,  3.828950202218431E+07,  6.949488605260551E+05,
2458009.500000000, A.D. 2017-Sep-13 00:00:00.0000,  2.210847771883762E+07,  4.066426269783630E+07,  1.294557009002626E+06,
2458010.500000000, A.D. 2017-Sep-14 00:00:00.0000,  1.746750376890645E+07,  4.263370346329638E+07,  1.881248249371072E+06,
2458011.500000000, A.D. 2017-Sep-15 00:00:00.0000,  1.265034466585080E+07,  4.417291037975588E+07,  2.448947095181055E+06,
2458012.500000000, A.D. 2017-Sep-16 00:00:00.0000,  7.704748171998948E+06,  4.526353451077735E+07,  2.991773818461102E+06,
2458013.500000000, A.D. 2017-Sep-17 00:00:00.0000,  2.680874903054961E+06,  4.589445605575530E+07,  3.504218048761839E+06,
2458014.500000000, A.D. 2017-Sep-18 00:00:00.0000, -2.370138456428015E+06,  4.606210590421501E+07,  3.981296859132877E+06,
2458015.500000000, A.D. 2017-Sep-19 00:00:00.0000, -7.397644155320554E+06,  4.577042024037088E+07,  4.418685456408387E+06,
2458016.500000000, A.D. 2017-Sep-20 00:00:00.0000, -1.235286777082711E+07,  4.503044316631640E+07,  4.812811715260541E+06,
2458017.500000000, A.D. 2017-Sep-21 00:00:00.0000, -1.719011752667459E+07,  4.385962789325009E+07,  5.160910019871313E+06,
2458018.500000000, A.D. 2017-Sep-22 00:00:00.0000, -2.186775014856565E+07,  4.228091279203350E+07,  5.461034373380559E+06,
2458019.500000000, A.D. 2017-Sep-23 00:00:00.0000, -2.634885685647732E+07,  4.032166117403287E+07,  5.712034697550695E+06,
2458020.500000000, A.D. 2017-Sep-24 00:00:00.0000, -3.060166476866939E+07,  3.801255301487473E+07,  5.913503097218769E+06,
2458021.500000000, A.D. 2017-Sep-25 00:00:00.0000, -3.459967537126285E+07,  3.538650554103284E+07,  6.065698361406991E+06,
2458022.500000000, A.D. 2017-Sep-26 00:00:00.0000, -3.832157994241277E+07,  3.247768173980455E+07,  6.169457186564967E+06,
2458023.500000000, A.D. 2017-Sep-27 00:00:00.0000, -4.175100129195341E+07,  2.932062565668211E+07,  6.226099826072561E+06,
2458024.500000000, A.D. 2017-Sep-28 00:00:00.0000, -4.487611297637654E+07,  2.594954424155170E+07,  6.237336474244522E+06,
2458025.500000000, A.D. 2017-Sep-29 00:00:00.0000, -4.768918330270105E+07,  2.239773968241336E+07,  6.205179047277967E+06,
2458026.500000000, A.D. 2017-Sep-30 00:00:00.0000, -5.018608418984949E+07,  1.869718456742394E+07,  6.131861411210459E+06,
2458027.500000000, A.D. 2017-Oct-01 00:00:00.0000, -5.236579628344601E+07,  1.487822482727027E+07,  6.019769707541794E+06,
2458028.500000000, A.D. 2017-Oct-02 00:00:00.0000, -5.422993307599741E+07,  1.096939162449244E+07,  5.871383324847322E+06,
2458029.500000000, A.D. 2017-Oct-03 00:00:00.0000, -5.578229907487785E+07,  6.997302313442821E+06,  5.689226272209791E+06,
2458030.500000000, A.D. 2017-Oct-04 00:00:00.0000, -5.702849072376461E+07,  2.986631416987489E+06,  5.475828196162207E+06,
2458031.500000000, A.D. 2017-Oct-05 00:00:00.0000, -5.797554392069878E+07, -1.039865502810840E+06,  5.233693994551029E+06,
2458032.500000000, A.D. 2017-Oct-06 00:00:00.0000, -5.863162848145018E+07, -5.061289744296915E+06,  4.965280861037326E+06,
2458033.500000000, A.D. 2017-Oct-07 00:00:00.0000, -5.900578755971102E+07, -9.058511218917813E+06,  4.672981590484760E+06,
