            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458051.500000000, A.D. 2017-Oct-25 00:00:00.0000,  1.581131291012536E+09, -4.744596276406865E+09,  5.017683760096073E+07,
2458052.500000000, A.D. 2017-Oct-26 00:00:00.0000,  1.581588309235968E+09, -4.744545235377213E+09,  5.004080909963489E+07,
2458053.500000000, A.D. 2017-Oct-27 00:00:00.0000,  1.582046068317426E+09, -4.744494417231575E+09,  4.990305042753029E+07,
2458054.500000000, A.D. 2017-Oct-28 00:00:00.0000,  1.582503250337559E+09, -4.744444925276425E+09,  4.976409047315717E+07,
2458055.500000000, A.D. 2017-Oct-29 00:00:00.0000,  1.582959042433810E+09, -4.744396645540650E+09,  4.962552868102288E+07,
2458056.500000000, A.D. 2017-Oct-30 00:00:00.0000,  1.583413861079649E+09, -4.744348348813135E+09,  4.948860912095356E+07,
2458057.500000000, A.D. 2017-Oct-31 00:00:00.0000,  1.583868981308853E+09, -4.744298786181152E+09,  4.935311098729229E+07,
2458058.500000000, A.D. 2017-Nov-01 00:00:00.0000,  1.584325399517056E+09, -4.744247803674337E+09,  4.921754433501625E+07,
2458059.500000000, A.D. 2017-Nov-02 00:00:00.0000,  1.584782943549233E+09, -4.744196480334250E+09,  4.908047989994049E+07,
2458060.500000000, A.D. 2017-Nov-03 00:00:00.0000,  1.585240426754243E+09, -4.744146164560106E+09,  4.894182497649264E+07,
2458061.500000000, A.D. 2017-Nov-04 00:00:00.0000,  1.585696707261662E+09, -4.744097271223153E+09,  4.880290491668010E+07,
2458062.500000000, A.D. 2017-Nov-05 00:00:00.0000,  1.586151705711754E+09, -4.744048912503559E+09,  4.866528088690424E+07,
2458063.500000000, A.D. 2017-Nov-06 00:00:00.0000,  1.586606476159966E+09, -4.743999689131998E+09,  4.852935820745611E+07,
2458064.500000000, A.D. 2017-Nov-07 00:00:00.0000,  1.587062266601355E+09, -4.743948938374895E+09,  4.839402376442409E+07,
2458065.500000000, A.D. 2017-Nov-08 00:00:00.0000,  1.587519404807600E+09, -4.743897326341211E+09,  4.825763871433091E+07,
2458066.500000000, A.D. 2017-Nov-09 00:00:00.0000,  1.587977005639616E+09, -4.743846253238361E+09,  4.811950179214478E+07,
2458067.500000000, A.D. 2017-Nov-10 00:00:00.0000,  1.588433761698817E+09, -4.743796603516865E+09,  4.798047429367018E+07,
